Discrepancias y decisiones automaticas				
Eventos ambiguos, mezclas de fechas y exclusiones.				
				
tipo	severidad	ruta	detalle	decision
FECHAS_MEZCLADAS_O_FUERA_DE_VENTANA	INFO	05_LOGS\Validas\Prueba_24_06_2026\CU001_Source_TEC001_PowerShell_Basic-2026-06-23T12_00_00Z-2026-06-24T12_00_00Z-C.364907172793f8c7.csv	filas=518; real=38; fp=0; fuera=480; sin_tiempo=0; min=2026-06-17T18:48:28.697Z; max=2026-06-24T12:55:42.311Z	Filas fuera de ventana excluidas del resultado definitivo.
FECHAS_MEZCLADAS_O_FUERA_DE_VENTANA	INFO	05_LOGS\Validas\Prueba_24_06_2026\CU002_Source_TEC002_CMD_Basic-2026-06-23T12_00_00Z-2026-06-24T12_00_00Z-C.364907172793f8c7.csv	filas=979; real=78; fp=0; fuera=901; sin_tiempo=0; min=2026-06-17T18:48:28.451Z; max=2026-06-24T12:55:41.845Z	Filas fuera de ventana excluidas del resultado definitivo.
FECHAS_MEZCLADAS_O_FUERA_DE_VENTANA	INFO	05_LOGS\Validas\Prueba_24_06_2026\CU003_Source_TEC003_ScheduledTask_Basic-2026-06-23T12_00_00Z-2026-06-24T12_00_00Z-C.364907172793f8c7.csv	filas=145; real=8; fp=0; fuera=137; sin_tiempo=0; min=2026-06-17T18:48:28.473Z; max=2026-06-24T12:51:22.687Z	Filas fuera de ventana excluidas del resultado definitivo.
FECHAS_MEZCLADAS_O_FUERA_DE_VENTANA	INFO	05_LOGS\Validas\Prueba_24_06_2026\CU004_Source_TEC004_RunKeys_Basic-2026-06-23T12_00_00Z-2026-06-24T12_00_00Z-C.364907172793f8c7.csv	filas=95; real=8; fp=0; fuera=87; sin_tiempo=0; min=2026-06-17T18:48:28.624Z; max=2026-06-24T12:51:38.812Z	Filas fuera de ventana excluidas del resultado definitivo.
FECHAS_MEZCLADAS_O_FUERA_DE_VENTANA	INFO	05_LOGS\Validas\Prueba_24_06_2026\CU005_Source_TEC005_ServiceCreation_7045-2026-06-23T12_00_00Z-2026-06-24T12_00_00Z-C.364907172793f8c7.csv	filas=12; real=1; fp=0; fuera=11; sin_tiempo=0; min=2026-06-17T18:50:13.204Z; max=2026-06-24T12:51:51.589Z	Filas fuera de ventana excluidas del resultado definitivo.
FECHAS_MEZCLADAS_O_FUERA_DE_VENTANA	INFO	05_LOGS\Validas\Prueba_24_06_2026\Forensic_EVENT_PowerShell4104_Strong_By_Technique-2026-06-23T12_00_00Z-2026-06-24T12_00_00Z-C.364907172793f8c7.csv	filas=123; real=4; fp=0; fuera=119; sin_tiempo=0; min=2026-06-17T18:49:10.697Z; max=2026-06-24T12:54:37.594Z	Filas fuera de ventana excluidas del resultado definitivo.
FECHAS_MEZCLADAS_O_FUERA_DE_VENTANA	INFO	05_LOGS\Validas\Prueba_24_06_2026\Forensic_EVENT_Sysmon_ID1_Process_By_Technique-2026-06-23T12_00_00Z-2026-06-24T12_00_00Z-C.364907172793f8c7.csv	filas=1546; real=108; fp=0; fuera=1438; sin_tiempo=0; min=2026-06-17T13:19:13.170Z; max=2026-06-24T13:10:12.035Z	Filas fuera de ventana excluidas del resultado definitivo.
FECHAS_MEZCLADAS_O_FUERA_DE_VENTANA	INFO	05_LOGS\Validas\Prueba_24_06_2026\Forensic_EVENT_Sysmon_Registry_File_Network_Context-2026-06-23T12_00_00Z-2026-06-24T12_00_00Z-C.364907172793f8c7.csv	filas=78; real=5; fp=0; fuera=73; sin_tiempo=0; min=2026-06-17T18:51:50.642Z; max=2026-06-24T12:56:28.333Z	Filas fuera de ventana excluidas del resultado definitivo.
FECHAS_MEZCLADAS_O_FUERA_DE_VENTANA	INFO	05_LOGS\Validas\Prueba_24_06_2026\Forensic_EVENT_System_7045_ServiceCreation-2026-06-23T12_00_00Z-2026-06-24T12_00_00Z-C.364907172793f8c7.csv	filas=12; real=1; fp=0; fuera=11; sin_tiempo=0; min=2026-06-17T18:50:13.204Z; max=2026-06-24T12:51:51.589Z	Filas fuera de ventana excluidas del resultado definitivo.
FECHAS_MEZCLADAS_O_FUERA_DE_VENTANA	INFO	05_LOGS\Validas\Prueba_24_06_2026\P1_EVENT_PowerShell4104_Basic-2026-06-23T12_00_00Z-2026-06-24T12_00_00Z-C.364907172793f8c7.csv	filas=11924; real=2; fp=0; fuera=11922; sin_tiempo=0; min=2026-06-17T18:46:52.825Z; max=2026-06-24T12:53:42.608Z	Filas fuera de ventana excluidas del resultado definitivo.
